sku_name,sales_2021,sales_2022,sales_difference
AKL_GFKU2369-L,1,0,-1
AM-Dark Turquoise Suit APS-5110-Small,1,0,-1
AM-Sky Blue Shalwar Suit APS-5100-Large,1,0,-1
Accu-Chek Active System ,1,0,-1
Ahan_WWST-001,1,0,-1
Akl_GFSU1270_Beige-L,1,0,-1
Al-Bakio_1A141,1,0,-1
Aladdin_055-BO_CAR-2088-2,1,0,-1
Aladdin_068-BO_MOTOR-2019,1,0,-1
Aladdin_Chrome Dumbbells Silver - 5kg ,1,0,-1
Aladdin_Kids Scooty - Multicolor,1,0,-1
Aladdin_UMR_CM_1092,1,0,-1
Aladdin_Wrench_Snap N Grip_01,1,0,-1
Aladdin_bike_cover,3,2,-1
Aladdin_water_hose_pipe,1,0,-1
Apple iPad Air 2 16 GB 4G,1,0,-1
Apple iPad Mini 3 Wifi 128GB-Space Grey,1,0,-1
Apple iPhone 6 (16GB,1,0,-1
Apple iPhone 6 Plus (16GB,1,0,-1
Apple iPhone 6S 128GB-Gold,1,0,-1
Arino_111-4105-Brown-42,1,0,-1
Artzy_MM-02,1,0,-1
Assetboys_MD-1340-B-5Y,1,0,-1
Assetmen_MD-428-M,1,0,-1
Atiqa_mega-sale-box-set,1,0,-1
Audionic  BT125 Speaker,1,0,-1
Audionic Reborn RB-107,1,0,-1
Audionic Reborn RB-90,1,0,-1
Audionic Vision 9,1,0,-1
Audionic6-954217-512365,1,0,-1
Audionic_6-954217-534473,1,0,-1
Audionic_B-710-Black,1,0,-1
Audionic_DJ 500,1,0,-1
Audionic_ECCO AH-715,1,0,-1
Audionic_Mehfil MH-20,1,0,-1
Audionic_Rex 65,1,0,-1
Audionic_Studio 4,1,0,-1
B-power_8286332-44,1,0,-1
BBS_A179,1,0,-1
BBS_C007,1,0,-1
BBS_D005,1,0,-1
BBS_DoremonCar,1,0,-1
BB_001,2,1,-1
BB_006,1,0,-1
BB_KIDSHD_HORS,1,0,-1
BB_KIDSHD_PIR,1,0,-1
BB_KIDSHD_PRI,1,0,-1
BFV_Black Friday voucher Rs  1000,1,0,-1
BHA_K.E-555-C,1,0,-1
BMS_Grey Elastic Pant-8 - 9 yrs - Size 32,1,0,-1
BO-paintings_MHS33-FIG,1,0,-1
BOOSTER CABLE 500AMP,1,0,-1
BO_Guitar-Pktoy-Pink,1,0,-1
BO_Hippo figured Child Seat,1,0,-1
BO_Rectangular Sea Pool,1,0,-1
BO_Teddy Bear - Yellow & White,1,0,-1
BO_topspeedRC-black,1,0,-1
BO_ty901-red,7,6,-1
BP_PS11043,1,0,-1
BP_PS19825-Mickey Mouse,1,0,-1
BParcel_EASY CAP 4 PORT-BLACK,1,0,-1
BParcel_Mini TOUCHPAD  500RF-BLACK,1,0,-1
BParcel_USB to VGA 3.0-BLUE,1,0,-1
BSSN_Waist Belt Logo on Buckle-Large,1,0,-1
B_power_4082296-37,1,0,-1
B_power_8082293-41,1,0,-1
Baklawa_Bird s Nest Pistachio-1Kg,1,0,-1
Barico_490 (940387,1,0,-1
Bata_3514467-PU-Brown-12,1,0,-1
Bata_Bfirst-3216008-33-1,1,0,-1
Bata_Bfirst-3511015-,1,0,-1
Bata_Bfirst-3516072-27-9,1,0,-1
Bata_Bfirst-3516073-32-13,1,0,-1
Bata_Bfirst-4216008-35-2,1,0,-1
Bata_Bfirst-6516094-39-6,1,0,-1
Bata_Power-8389002-41-7,1,0,-1
Bata_Power-8389002-44-10,1,0,-1
Bose_626237-0020,1,0,-1
